	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:+;coronal:-;dorsal:-;front:0;round:-,+	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:+;coronal:-;dorsal:-,+;front:+;round:-	labial:+;coronal:-;dorsal:+;front:-;round:-	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-;coronal:-;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+	b	bʷ	d		ɡb	ɡ	ɡʲ	ɡʷ	7/8	0.9974205538067714
periodicGlottalSource:-	p		t	pʲ	kp	k	kʲ	kʷ	7/8	0.998877020516603
	2/2	1/2	2/2	1/2	2/2	2/2	2/2	2/2
	1.0	0.5129734133942809	1.0	0.619528994012422	1.0	1.0	1.0	1.0
