	labiodental:0;anterior:+;dorsal:-;round:0	labiodental:0;anterior:-;dorsal:-;round:0	labiodental:0;anterior:+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+	d̪z̪	d̠ʒ	d̪z̪ʲ	3/3	1.0
periodicGlottalSource:-	t̪s̪	t̠ʃ	t̪s̪ʲ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
