	labial:+;coronal:-;distributed:0;dorsal:-;front:0	labial:-;coronal:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;distributed:-;dorsal:-,+;front:+ | labial:-;coronal:+;distributed:+;dorsal:-,+;front:+ | labial:-;coronal:+;distributed:+;dorsal:-,+;front:+;strident:-	labial:-;coronal:-;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b	d̪	d̪ʲ	ɡ	4/4	1.0
periodicGlottalSource:-	p	t̪	tʲ	k	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
