	labiodental:0;lateral:-,+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-			d̠ʒ	1/3	0.631241934628153
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	tɬ		t̠ʃ	2/3	0.5603969640135774
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+ | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+	tɬʼ	tsʼ	t̠ʃʼ	3/3	1.0
	2/3	1/3	3/3
	0.9283735773561475	0.19444211384295104	1.0
