		d̠ʒ	1/3	0.631241934628153
tɬ		t̠ʃ	2/3	0.5603969640135774
tɬʼ	tsʼ	t̠ʃʼ	3/3	1.0
2/3	1/3	3/3
0.9283735773561475	0.19444211384295104	1.0
