	labial:+;labiodental:+;coronal:-;anterior:0;dorsal:-;low:0;round:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;anterior:+;dorsal:-;low:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;anterior:+;dorsal:-;low:0;round:0;retractedTongueRoot:-,+	labial:-;labiodental:0;coronal:+;anterior:-;dorsal:-;low:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;anterior:-;dorsal:-;low:0;round:0;retractedTongueRoot:-,+	labial:-;labiodental:0;coronal:-;anterior:0;dorsal:+;low:-;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;anterior:0;dorsal:+;low:+;round:0;retractedTongueRoot:+	labial:-,+;labiodental:-;coronal:-;anterior:0;dorsal:+;low:-;round:+;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+		z̪	z̪ˤ	ʒ	ʒˤ	ʁ	ʕ	ʁʷ	7/8	0.8529430448091926
periodicGlottalSource:-	f	s̪	s̪ˤ	ʃ	ʃˤ	χ		χʷ	7/8	0.988032522314379
	1/2	2/2	2/2	2/2	2/2	2/2	1/2	2/2
	0.7619820000412727	1.0	1.0	1.0	1.0	1.0	0.2766393025149453	1.0
