	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-;lateral:-;distributed:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-,+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-,+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-,+;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-,+;distributed:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-,+	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:- | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:- | labial:-,+;labiodental:-;coronal:+;strident:-;anterior:-;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:-;distributed:+;front:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;anterior:-;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:-;distributed:+;front:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;dorsal:-;high:0;low:0;back:0;round:+;retractedTongueRoot:-;distributed:+;front:0 | labial:-,-,+;labiodental:-;coronal:+;strident:+;anterior:-;dorsal:-;high:0;low:0;back:0;round:+;retractedTongueRoot:-;distributed:+;front:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;low:-;back:+;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;low:+;back:+;round:0;retractedTongueRoot:+	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:+;high:-;low:-;back:+;round:+;retractedTongueRoot:- | labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:+;high:-;low:+;back:+;round:+;retractedTongueRoot:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-,+;high:+;low:-;back:-;round:0;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-;distributed:+;front:0	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d̪	d̪ˤ	-	ɡʷ				ɡ	5/8	0.9803356034707075
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive		t̪	t̪ˤ	-	kʷ	q	-	qʷ	k	6/7	0.7523280826876737
periodicGlottalSource:+;category:fricative		z̪	z̪ˤ	ʒˤ		ʁ	ʕ	ʁʷ	ʒ	7/9	0.7983931370204173
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̪	s̪ˤ	ʃˤ		χ		χʷ	ʃ	7/9	0.9775373462042452
	2/4	4/4	4/4	2/2	2/4	3/4	1/3	3/4	4/4
	0.420921586088275	1.0	1.0	1.0	0.8071686956128078	0.91420979782752	0.2729129977173476	0.9551897960581514	1.0
