	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	d	d̠ʒ	ɡ		3/4	0.9726938212334583
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		ʃ			1/4	0.5557750670109035
periodicGlottalSource:-;category:affricate|plosive	t	t̠ʃ	k	kʷ	4/4	1.0
	2/3	3/3	2/3	1/3
	0.9078692378409148	1.0	0.8704935942677532	0.6380599681820985
