	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	labial:-,+;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	d	ɡ		2/3	0.9687534773408885
periodicGlottalSource:-	t	k	kʷ	3/3	1.0
	2/2	2/2	1/2
	1.0	1.0	0.8209037735575385
