	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+,-;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-;round:-,+	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-,+;strident:-;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:+;strident:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-,+;strident:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-;anterior:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-;anterior:+	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-;distributed:-,+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;distributed:+;dorsal:+;high:+;low:-;front:+;back:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-;distributed:+;dorsal:+;high:+;low:-;front:+;back:-;retractedTongueRoot:-;anterior:- | labial:-;labiodental:0;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-;distributed:+;dorsal:+;high:-;low:-;front:+;back:+;retractedTongueRoot:-;anterior:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive		-	-	tʼ	-	kʼ	-	2/3	0.7615742019235083
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive	b	-	-	d	-	ɡ		3/4	0.9997666068845835
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:plosive		-	-	tʰ	-	kʰ	-	2/3	0.7240379663019907
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:fricative		ɬʼ	sʼ	θʼ	ɕʼ			4/7	0.8340747792048875
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative			z	ð	ʑ	ɣ	ʕ	5/7	0.7111483990641894
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative | periodicGlottalSource:+,-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:fricative	f	ɬ	s	θ	ɕ	x	ħ	7/7	1.0
	2/6	2/3	3/3	6/6	3/3	5/6	2/4
	0.6535011193816116	0.9048884957099267	1.0	1.0	1.0	0.9988659964736277	0.9755217602772794
