	labial:+;labiodental:-;coronal:-;strident:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz	ɡ	4/4	1.0
periodicGlottalSource:+;category:fricative	v			ɣ	2/4	0.5116339842519898
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	k	4/4	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s		2/4	0.7295437254844072
	4/4	2/4	3/4	3/4
	1.0	0.9287885102262046	0.8955757541844349	0.875264981544242
