	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:affricate|plosive	b		d̪	d	d̠ʒ			ɡ	5/8	0.8993331616378958
periodicGlottalSource:+;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	-		ɗ	-		ʄ	ɠ	4/6	0.962147264994418
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	β	v	ð		ʒ		ʝ	ɣ	6/8	0.9480127362250182
periodicGlottalSource:-;loweredLarynxImplosive:-;category:affricate|plosive	p		t̪	t̺	t̠ʃ	ʈ		k	6/8	0.9617808119028205
	4/4	1/3	3/4	3/4	3/3	1/4	2/4	4/4
	1.0	0.9726633474621679	0.9973484968604245	0.9937145606578023	1.0	0.7695723257662913	0.09110979668153134	1.0
