	labial:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+		dz	d̠ʒ	2/3	0.9972486539152018
periodicGlottalSource:-	pf	ts	t̠ʃ	3/3	1.0
	1/2	2/2	2/2
	0.6808191112874288	1.0	1.0
