	labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	ð		1/2	0.7175643125557725
periodicGlottalSource:-	s̺	x	2/2	1.0
	2/2	1/2
	1.0	0.7044347480298516
