	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+		z̪	ʒ		2/4	0.4883660157480102
periodicGlottalSource:-	f	s̪	ʃ	x	4/4	1.0
	1/2	2/2	2/2	1/2
	0.6625210710769323	1.0	1.0	0.7044347480298516
