	labiodental:0;anterior:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	d̪z̪|dz	d̠ʒ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:-	t̪s̪|ts		1/2	0.45289035570425545
periodicGlottalSource:-;spreadGlottis:+	t̪s̪ʰ|tsʰ		1/2	0.44603482423271246
	3/3	1/3
	1.0	0.23141389207583332
