	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:- | labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d		d̠ʒ	ɡ	4/5	0.9566084549724871
periodicGlottalSource:+;category:fricative	v		z	ʒ	ʁ	4/5	0.924616888552083
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	t̠ʃ	k	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʃ	χ	4/5	0.8988828031064121
	4/4	2/4	3/4	4/4	4/4
	1.0	0.9036894656578184	0.9302895585623174	1.0	1.0
