	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-,+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-;lateral:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;high:+;low:-;front:+;back:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;retractedTongueRoot:- | labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive	b	d̪	ɟ	ɡ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive	ɓ	ɗ			2/4	0.8038629283657579
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive		t̪		k	2/4	0.6920309161217744
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f	s		ħ	3/4	0.9725595002531404
	3/4	4/4	1/4	3/4
	0.4556486407653508	1.0	0.3544290875157395	0.9950283161314505
