	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d̪	ɟ	ɡ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ	ɗ			2/4	0.8057885285196277
periodicGlottalSource:-;loweredLarynxImplosive:-		t̪		k	2/4	0.7109140555846516
	2/3	3/3	1/3	2/3
	0.35344634695024135	1.0	0.4090160593269505	0.9942958712195662
