	labiodental:0;strident:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:-,+;distributed:-,+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	dz	dʑ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:-	ts	tɕ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+	tsʰ		1/2	0.9259787876942465
	3/3	2/3
	1.0	0.820480693359107
