	labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:-;round:0	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	z̪	z	ʐ		3/4	0.6675769450282313
periodicGlottalSource:-	s̪	s	ʂ	x	4/4	1.0
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.7044347480298516
