	labial:+;coronal:-;distributed:0;dorsal:-;front:0	labial:-;coronal:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;distributed:-;dorsal:-,+;front:+	labial:-;coronal:-;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̪		dʲ	ɡ	4/5	0.7410992265778037
periodicGlottalSource:-;spreadGlottis:-	p	t̪	t	tʲ	k	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̪ʰ	tʰ	tʲʰ	kʰ	5/5	1.0
	3/3	3/3	2/3	3/3	3/3
	1.0	1.0	0.7143866031873449	1.0	1.0
