	labial:+;coronal:-;strident:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:-;distributed:-,+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;front:0;anterior:+	labial:-;coronal:+;strident:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:+;front:+;anterior:+	labial:-;coronal:-;strident:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t̪	t̺	ȶ	k	5/5	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	β	ð		ʑ	ɣ	4/5	0.9852313582906028
	2/2	2/2	1/2	2/2	2/2
	1.0	1.0	0.9888523642962543	1.0	1.0
