	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-;sonorant:-;nasal:-			k	1/3	0.3748054199214285
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+;sonorant:-;nasal:-	ɓ	ɗ		2/3	0.8105931977093616
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:-;nasal:-	pʰ	tʰ		2/3	0.5949546831067201
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-	mb	nd	ŋɡ	3/3	1.0
	3/4	3/4	2/4
	0.45737097156932555	0.3972681344704749	0.8689115804618928
