	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	β				1/4	0.2710152922264289
periodicGlottalSource:-	f	s	ʃ	x	4/4	1.0
	2/2	1/2	1/2	1/2
	1.0	0.7931118804251478	0.7783204924998441	0.7044347480298516
