	labiodental:0;strident:+;anterior:-;distributed:+;dorsal:-;round:0 | labiodental:0;strident:-,+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	t̠ʃ	tɕ	2/2	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	n̠d̠ʒ		1/2	0.8759354109746113
	2/2	1/2
	1.0	0.7793994585853239
