	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;category:plosive	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;category:affricate | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;category:fricative	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d		d̠ʒ	ɟ	ɟʝ	ɡ	6/7	0.9599960801657293
periodicGlottalSource:+;category:fricative	v		z	ʒ		ʝ		4/7	0.5847861524069248
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	t̠ʃ	c	cç	k	7/7	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʃ		ç	x	5/7	0.8236895276772908
	4/4	2/4	3/4	4/4	2/4	4/4	3/4
	1.0	0.9036894656578184	0.9302895585623174	1.0	0.6666666666666666	1.0	0.9458984764575173
