	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b	d̪	d	ɟ	ɡ	5/5	1.0
periodicGlottalSource:-	p		t	c	k	4/5	0.8839705749089871
	2/2	1/2	2/2	2/2	2/2
	1.0	0.2630015586235974	1.0	1.0	1.0
