	labial:+;labiodental:-;coronal:-;anterior:0;high:0;low:0;front:0;back:0 | labial:+;labiodental:+;coronal:-;anterior:0;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;anterior:+;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;anterior:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	z̪|z	ʒ	3/3	1.0
periodicGlottalSource:-	f	s̪|s	ʃ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
