	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
spreadGlottis:-	p	t	k	3/3	1.0
spreadGlottis:+;DEVOICED:+	b̤̥	d̤̥	ɡ̤̥	3/3	1.0
spreadGlottis:+;DEVOICED:-	pʰ	tʰ	kʰ	3/3	1.0
	3/3	3/3	3/3
	1.0	1.0	1.0
