b	d	ɡb	ɟ	ɡ	5/5	1.0
p	t	kp	c	k	5/5	1.0
f	s	-			2/4	0.802392085064903
3/3	3/3	2/2	2/3	2/3
1.0	1.0	1.0	0.8666613508683059	0.8671695102211161
