	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+		d̠ʒ	1/2	0.6021038384169339
periodicGlottalSource:-	ts	t̠ʃ	2/2	1.0
	1/2	2/2
	0.8300171939496974	1.0
