	labial:+;coronal:-;dorsal:-;high:0;back:0;epilaryngealSource:-;round:-	labial:-;coronal:+;dorsal:-;high:0;back:0;epilaryngealSource:-;round:0	labial:-;coronal:-;dorsal:-;high:0;back:0;epilaryngealSource:+;round:0	labial:-;coronal:-;dorsal:+;high:+;back:-;epilaryngealSource:-;round:0	labial:-,+;coronal:-;dorsal:+;high:+;back:-;epilaryngealSource:-;round:+	labial:-;coronal:-;dorsal:+;high:-;back:+;epilaryngealSource:-;round:0	labial:-,+;coronal:-;dorsal:+;high:-;back:+;epilaryngealSource:-;round:+	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	p	t̪	ʡ	k	kʷ	q	qʷ	7/7	1.0
constrictedGlottis:+;raisedLarynxEjective:+	pʼ	t̪ʼ	-	kʼ	kʷʼ	qʼ	qʷʼ	6/6	1.0
	2/2	2/2	1/1	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0	1.0
