	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;epilaryngealSource:-;round:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;back:0;epilaryngealSource:-;round:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;epilaryngealSource:-;round:0;retractedTongueRoot:- | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;epilaryngealSource:-;round:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;epilaryngealSource:-;round:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;epilaryngealSource:-;round:0;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;epilaryngealSource:+;round:0;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;epilaryngealSource:-;round:0;retractedTongueRoot:-	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;epilaryngealSource:-;round:+;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;back:+;epilaryngealSource:-;round:0;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;epilaryngealSource:-;round:0;retractedTongueRoot:+	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;back:+;epilaryngealSource:-;round:+;retractedTongueRoot:-	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	p	t̪	tɬ	ts	t̠ʃ	ʡ	k	kʷ	q		qʷ	10/11	0.9999245645881064
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			ɬ	s	ʃ	-	x	xʷ	χ	ħ	χʷ	8/10	0.772006555509071
constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate	pʼ	t̪ʼ	tɬʼ	tsʼ	t̠ʃʼ	-	kʼ	kʷʼ	qʼ	-	qʷʼ	9/9	1.0
	2/3	2/3	3/3	3/3	3/3	1/1	3/3	3/3	3/3	1/2	3/3
	0.8413296420032824	0.8812186113551126	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9811962587716075	1.0
