	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-;coronal:-;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+	b					1/5	0.3056797174847602
periodicGlottalSource:-	p	t	k	kʲ	kʷ	5/5	1.0
	2/2	1/2	1/2	1/2	1/2
	1.0	0.6982137273139257	0.7407770089337997	0.5585281024015436	0.8240255992155922
