variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-880.1143878825,-881.1605050000001,54.03267633622039,53.743627307999965,-969.2322975,-789.9339205,1.0032900986213023,1109.29277737591,2165.758266260345
z_std[1],0.04236220998727789,0.044588805999999995,0.8976798474834023,0.9106984660199999,-1.4284091249999997,1.4928514449999986,0.99997878154275055,15289.446747995202,5635.078292681814
z_std[2],0.1266896131742575,0.11477691500000001,0.9304131271917478,0.9280667469569999,-1.397364895,1.6583305799999997,1.000396344212814,16522.290013969672,5378.675486625826
z_std[3],0.15221384530824125,0.152620005,0.8976706852481797,0.895818736596,-1.3086987499999998,1.6438600849999998,1.0003468914009677,14595.395807769626,6308.317800053785
z_std[4],0.3832609325719239,0.37665057,0.9131193463673154,0.905091398841,-1.12455912,1.9003271599999998,1.000740248537971,15683.03563982177,6431.572942212823
z_std[5],-0.11912431963117223,-0.11940908,0.9765409425886064,0.9788830028040001,-1.7236887649999997,1.4884455549999989,1.0000629756645119,16001.390584141334,5859.024517571518
z_std[6],-0.1259038661948975,-0.126518705,0.9717857134116336,0.9911358615479999,-1.707942835,1.4772931249999977,1.0006015799483365,16731.075730026638,5582.260504736617
z_std[7],0.2361696067988825,0.24059005,0.9674611975553178,0.9939725053019999,-1.370007915,1.8186914199999964,1.000289644461317,16197.247201506041,6061.578433901859
z_std[8],-0.23535466372848,-0.23731076,0.9918476604418602,0.9861162449669999,-1.873818655,1.3890230699999968,1.0000560473943685,15038.938733786978,5168.810141079178
z_std[9],-0.10359876552597624,-0.100215845,0.9477853424685562,0.9658474424549999,-1.64637105,1.4504314649999994,1.0005776442322665,13824.029208753664,6030.327432887426
z_std[10],-0.1016720879751476,-0.09512852399999999,0.915271955610038,0.921404854356,-1.614738335,1.3885103499999996,1.0006476261471307,13770.977888334948,6524.030785868365
z_std[11],0.5025430929786076,0.499738585,0.921803850196972,0.942940946283,-0.998514908,2.0303072599999994,1.0007586738623462,16977.99595840085,5592.427789367615
z_std[12],0.5041624685833375,0.50359337,0.8885037030955713,0.8977078951679999,-0.9559675745,1.9743430049999986,1.0000181663040864,17076.79951277889,6384.989975734786
z_std[13],0.6057582006989525,0.6063572749999999,0.8752506044093548,0.884211972693,-0.8368545729999999,2.0561393399999974,1.0001579578027386,15262.422869318443,5598.142735345832
z_std[14],-0.11773416119570625,-0.11655296,0.943873188348156,0.9583664726579999,-1.668311325,1.4404582549999991,1.001142705292315,15004.39057718909,5621.830940489327
z_std[15],-0.11027463167492925,-0.11297035,0.9409421992404697,0.9422263849739998,-1.6584310500000001,1.4312203399999994,1.0013089713847745,15178.014268887639,5924.358317543089
z_std[16],-0.11695385363081,-0.12186036,0.9385685858608264,0.9359506503689999,-1.6516464450000001,1.4160824749999965,1.0003175451443402,17234.281895236472,5815.190213472288
z_std[17],0.1768511001923265,0.184833325,0.9283776721527818,0.9147137248829998,-1.35466409,1.6998866049999992,1.0007468134258681,18415.39183619166,5733.690118385843
z_std[18],0.0040671403564525,0.0028096242000000002,0.9962668429864588,0.97633072291608,-1.62694625,1.6626525349999988,0.9996104145816951,15866.818411764849,5231.561560115817
z_std[19],-0.004318715850589999,-0.012548311999999999,1.0080339601287902,1.0175122599642,-1.67009337,1.6506246199999994,1.002540564947082,14264.547753678393,5534.034296140732
z_std[20],0.06286218113652375,0.061335317,0.9819122588082493,0.9810769809708,-1.5303911300000002,1.6760559099999999,1.0011824977889263,15034.642553130841,5631.365215504306
z_std[21],0.1164362143769875,0.125095285,0.9745660249484757,0.9777516529829999,-1.494548,1.7175187749999994,1.000054850455125,16340.46271257038,5226.732643711463
z_std[22],0.10268822616794375,0.103746745,0.9835379057265085,0.9679144982009998,-1.5141554149999998,1.7175040199999998,1.000141208089502,15806.57927968772,5768.510303390719
z_std[23],-0.11745031545857225,-0.10945263999999999,0.9890991221803026,0.9912525273419999,-1.730972315,1.523256035,1.0006238216703258,14640.171377619401,5938.059873254314
z_std[24],-0.13300778423198376,-0.13510806,0.8955932923025652,0.8957844292320001,-1.5955382750000002,1.324291204999998,1.000828442170279,15167.06996310213,6010.208527462293
z_std[25],-0.08748936001701263,-0.098838133,0.9169114457316946,0.9121449528491999,-1.6021709149999999,1.4433837299999999,1.001317023181409,16050.114639598503,5456.1712958193
z_std[26],-1.011492450442605,-0.993852805,0.9322571624392403,0.9299469283859999,-2.545460975,0.5306133974999991,1.0018729092727552,14725.790806798139,5882.849717391453
z_std[27],-0.052165280720075,-0.042008718,0.8772928172153126,0.8882439953141998,-1.4858679349999997,1.3956215649999997,1.0006946338498361,14570.03773299126,5948.187684026292
z_std[28],-0.17723578328499875,-0.164963825,0.8891213384504927,0.8915672550749998,-1.63350657,1.2882152899999997,1.0005188725904104,18160.6239701231,5495.523179040068
z_std[29],-0.14297588704643763,-0.14140004,0.9026946235504422,0.9187601109329999,-1.62486371,1.33601639,1.0020576004697084,14731.787753972274,5452.134503838901
z_std[30],-0.15682894382791374,-0.15593725,0.9078191362756692,0.9033096842909999,-1.651325745,1.3305505299999998,1.0003139879480056,15167.296260633755,5732.061789493501
z_std[31],0.23492283217886,0.23267473,0.9375733533489166,0.932128974588,-1.3082199499999998,1.7742188549999998,1.0005762164493168,16208.681796772471,6083.27652982972
z_std[32],-0.41353212715960874,-0.40653631,0.9792117677837585,0.971679420054,-2.0521245400000003,1.1901914249999996,1.0001451841722917,12832.794885971198,5389.63040518044
z_std[33],0.00226495413921,0.0090298913,0.9847584163446889,0.9840826015393799,-1.63818874,1.6120016399999995,1.0012528813322454,15925.862752080184,5750.097291605579
