			qʼ	1/4	0.4344727795436681
b	d	ɟ	ɡ	4/4	1.0
ɓ	ɗ		ɠ	3/4	0.883916444848449
p	t	c	k	4/4	1.0
3/4	3/4	2/4	4/4
0.9266677935065077	0.9258219955510325	0.882507529838399	1.0
