	labial:+;coronal:-;strident:0;dorsal:-	labial:-;coronal:+;strident:-;dorsal:-	labial:-;coronal:+;strident:+;dorsal:-	labial:-;coronal:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz	ɡ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s		1/4	0.5481265971825239
periodicGlottalSource:-;category:affricate|plosive		t	ts	k	3/4	0.7937161897998947
	1/3	2/3	3/3	2/3
	0.29731697261752427	0.9486623782551034	1.0	0.8703076603118558
