	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d			2/4	0.6510358240115259
periodicGlottalSource:-	p	t	kp	k	4/4	1.0
	2/2	2/2	1/2	1/2
	1.0	1.0	0.46941066790656305	0.7131090135848781
