	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:+,-;coronal:-,+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+ | labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v	-	ɮ	z	ʒ	4/4	1.0
periodicGlottalSource:-	f	fʃ	ɬ	s	x	5/5	1.0
	2/2	1/1	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0
