	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:+,-;labiodental:-;coronal:-,+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:- | labial:+,-;labiodental:-;coronal:-,+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-	labial:+,-;labiodental:+;coronal:-,+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;category:plosive	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;category:affricate | labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;category:fricative	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b	bz	-			dz				3/8	0.24809688509375713
periodicGlottalSource:+;category:fricative	v	-	-	ɮ		z	ʒ			4/7	0.37764307849048
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive			-				t̠ʃ			1/8	0.06002473725730695
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	-	fʃ	ɬ		s			x	5/8	0.4317530258103884
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate	pʰ	pʃʰ	-	tɬʰ	tʰ		t̠ʃʰ	kʰ	kxʰ	7/8	0.9150792007045974
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate	pʼ	pʃʼ	-	tɬʼ	tʼ	tsʼ	t̠ʃʼ	kʼ		7/8	0.9706723189579058
	5/6	3/4	1/1	4/6	2/6	4/6	4/6	2/6	2/6
	0.6334887965280587	0.5331429069818148	1.0	0.8328251689534756	0.17373671941644275	0.751003255146806	0.5686633602973551	0.16148287731918975	0.24319278753495197
