	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	t̠ʃ	k	4/4	1.0
periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate|plosive	b				1/4	0.2809231827676074
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			ʃ		1/4	0.4739605424916402
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mp				1/4	0.2249279703791219
	3/4	1/4	2/4	1/4
	0.8384086648678412	0.6440721592164124	0.8757313018639422	0.6238478376545964
