	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	bv	dz	ɟʝ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-	pf	ts	cç	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+	pfʰ	tsʰ	cçʰ	3/3	1.0
	3/3	3/3	3/3
	1.0	1.0	1.0
