	labiodental:0;strident:-,+;anterior:+,-;distributed:-,+;high:0;low:0;front:0;back:0;round:0	labiodental:0;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0 | labiodental:0;strident:-,+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-	-	t̠ʃ	1/1	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-	-	d̠ʒ	1/1	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+,-;sonorant:-;nasal:-	ɗʒ	-	1/1	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-	-	n̠d̠ʒ	1/1	1.0
	1/1	3/3
	1.0	1.0
