b	d	ɡ	ɟ	4/4	1.0
p	t	k	c	4/4	1.0
		x	ʃ	2/4	0.7240639103506374
2/3	2/3	3/3	3/3
0.8420121574280209	0.9023397958093333	1.0	1.0
