	tʼ	cʼ	kʼ	qʼ	4/5	0.7621363987655181
b	d		ɡ		3/5	0.9087282783382
ɓ				-	1/4	0.40662334864933586
p	t	c	k	q	5/5	1.0
3/4	3/4	2/4	3/4	2/3
0.9266677935065077	0.9732289528034773	0.549466083355154	0.9932905066329987	0.8779860392617957
