	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:+;dorsal:+	labial:-;coronal:-;dorsal:+	labial:-;coronal:+;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̪	b˞	ɡ	ɡ˞	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-	p	t̪	p˞	k	k˞	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̪ʰ	p˞ʰ	kʰ	k˞ʰ	5/5	1.0
	3/3	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0	1.0
