	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-	labial:+;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+	labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̪	dz	d̠ʒ	ɖʐ	b˞	ɡ˞	ɡ	8/8	1.0
periodicGlottalSource:+;category:fricative			z	ʒ	ʐ	-		ɣ	4/7	0.6426303902965202
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t̪	ts	t̠ʃ	ʈʂ	p˞	k˞	k	8/8	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s	ʃ	ʂ	-		x	4/7	0.7338335391481589
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̪ʰ	tsʰ	t̠ʃʰ	ʈʂʰ	p˞ʰ	k˞ʰ	kʰ	8/8	1.0
	3/5	3/5	5/5	5/5	5/5	3/3	3/5	5/5
	0.7751802075349559	0.8321446021172987	1.0	1.0	1.0	1.0	0.004262791524821873	1.0
