	labial:+;coronal:-;strident:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:-;distributed:-;dorsal:- | labial:-;coronal:+;strident:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	dz	d	ɡ	4/4	1.0
periodicGlottalSource:+;category:fricative		z	ð	ɣ	3/4	0.7290361679906975
periodicGlottalSource:-;category:affricate|plosive	p	ts	t	k	4/4	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s			1/4	0.514683481130756
	2/4	4/4	3/4	3/4
	0.7765446790726911	1.0	0.9202310870766032	0.8754418110200178
