	labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	ð	z	ɣ	3/3	1.0
periodicGlottalSource:-		s		1/3	0.6658453525976069
	1/2	2/2	1/2
	0.27901880949840785	1.0	0.2955652519701484
