	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:+;coronal:-;anterior:0;dorsal:+	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɖ	ɡb	ɡ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+		tʰ		kpʰ	kʰ	3/5	0.7022988257272916
	1/2	2/2	1/2	2/2	2/2
	0.7650026768214045	1.0	0.7064845367647357	1.0	1.0
