		kʼ		1/4	0.34459500272619603
b	d	ɡ		3/4	0.9810871488745625
ɓ	ɗ		-	2/3	0.8108077539606614
p	t	k	q	4/4	1.0
3/4	3/4	3/4	1/3
0.9266677935065077	0.9245237852601895	0.9863607859728438	0.6309915689157067
