	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-,+;high:+;low:-;back:-;retractedTongueRoot:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+;high:+;low:-;back:-;retractedTongueRoot:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;back:+;retractedTongueRoot:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	v	ð	z̪	ʒ	ðˠ	zˠ	ʁ	ʕ	8/8	1.0
periodicGlottalSource:-	f	θ	s̪	ʃ		sˠ	χ	ħ	7/8	0.9838703598731798
	2/2	2/2	2/2	2/2	1/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	0.28685632896390856	1.0	1.0	1.0
