name,glottocode
Bengni_Tani,nyis1236
Bokar_Lhoba_Tani,bori1243
Apatani_Tani,apat1240
Hayu_Kiranti,wayu1241
Daofu_rGyalrongic,horp1239
Tangkhul_Tangkhulic,tang1336
Tibetan_Xiahe_Tibetan,amdo1237
Khaling_Kiranti,khal1275
Marma_Burmese,marm1234
Naxi_Yongning_Naic,naxi1245
Cuona_Menba_Bodish,tawa1289
Sak_Sal,chak1270
Ao_Mongsen_Naga,aona1235
Ao_Chungli_Naga,aona1235
Lisu_Northern_Ngwi,lisu1250
Angami_Kohima_Naga,anga1288
Sangtam_Naga,sang1321
Leqi_Luxi_Burmish,lash1243
Zeme_Naga,zeme1240
rGyalrong_Maerkang_rGyalrongic,jiar1240
Tamang_TG,west2415
Darang_Taraon_Diagarish,diga1241
Bodo_Sal,bodo1269
Ersu_Ersuish,ersu1241
Atong_Sal,aton1241
Khumi_KukiChin,khum1248
Pattani_Kinauri,patt1248
Chang_Sal,chan1313
Idu_Diagarish,idum1241
Rongmei_Naga,rong1266
Pa_O_Karenic,paok1235
Jinuo_Youle_Ngwi,youl1235
Cuona_Mama_Bodish,tawa1289
Trung_Nujiang_Nungish,drun1238
Tibetan_Batang_Tibetan,kham1282
Tibetan_Amdo_Blabrang_Tibetan,amdo1237
Thulung_Kiranti,thul1246
Tibetan_Khams_Tibetan,kham1282
Tibetan_Amdo_Zeku_Tibetan,amdo1237
Tibetan_Lhasa_Tibetan,tibe1272
Tibetan_Jirel_Tibetan,jire1238
Thado_KukiChin,thad1238
Garo_Sal,garo1247
Sunwar_Kiranti,sunw1242
Manang_Gyaru_TG,mana1288
Magar_Himalayan,west2418
Liangmei_Naga,lian1251
Kayan_Pekon_Karenic,kaya1315
Hani_Shuikui_Ngwi,hani1248
Thakali_TG,thak1245
Sema_Sumi_Naga,sumi1235
Chepang_Himalayan,chep1245
Lyuzu_Ersuish,lizu1234
Phom_Sal,phom1236
Mpi_Ngwi,mpii1239
Muya_Minyak_Qiangic,muya1239
Ergong_Danba_rGyalrongic,horp1239
Xumi_Naic,shix1238
Pumi_Qinghua_Qiangic_Pumi,sout2729
Lotha_Naga_Naga,loth1237
Pumi_Taoba_Qiangic_Pumi,nort2723
Qiang_Mawo_Qiangic,nort2722
Qiang_Longxi_Qiangic,nort2722
Daai_KukiChin,daai1236
Dimasa_Sal,dima1251
Caodeng_rGyalrongic,jiar1240
Queyu_Yajiang_Qiangic,quey1238
Tiddim_KukiChin,tedi1235
Trung_Dulong_Nungish,drun1238
Anong_Nungish,nung1282
Manang_Prakaa_TG,mana1288
Burmese_Spoken_Rangoon_Burmese,nucl1310
Achang_Longchuan_Burmish,acha1249
Achang_Xiandao_Burmish,acha1249
Langsu_Luxi_Burmish,maru1249
Achang_Lianghe_Burmish,acha1249
Bola_Luxi_Burmish,pela1242
Lahu_Yellow_Ngwi_Lahu,lahu1252
Achang_Luxi_Burmish,acha1249
Atsi_Zaiwa_Burmish,zaiw1241
Nusu_Central_Nusu,nusu1239
Yi_Nanjian_Ngwi,xish1235
Nusu_Northern_Nusu,nusu1239
Ngmuun_KukiChin,munc1235
Yi_Mile_Ngwi,axiy1235
Yi_Dafang_Ngwi,wusa1235
Yi_Weishan_Ngwi,xish1235
Yi_Wuding_Ngwi,wudi1238
Yi_Mojiang_Ngwi,sout2723
Yi_Sani_Ngwi,sani1269
Konyak_Sal,kony1248
Lisu_Central_Ngwi,lisu1250
Jingpho_Sal,kach1280
Lahu_Lancang_Ngwi_Lahu,lahu1253
Limbu_Kiranti,limb1266
Gurung_Ghachok_TG,guru1261
Hani_Luchun_Ngwi,hani1248
Hani_Dazhai_Ngwi,hani1248
Hani_Caiyuan_Ngwi,hani1248
Matu_KukiChin,ngal1291
Hani_Mojiang_Ngwi,honi1244
Hani_Gelanghe_Ngwi,hani1248
Naxi_Lijiang_Naic,naxi1245
Namuyi_Naic,namu1246
Kanauri_Kinauri,kinn1249
Karen_Karenic,sgaw1245
Nusu_Southern_Nusu,nusu1239
Chinese_Old_Chinese,oldc1244
Chinese_Mandarin_Chinese,mand1415
