	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:+;dorsal:-,+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	bʼ	dʼ//tʼ		kʼ//ɡʼ	3/4	0.9988145896019998
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	b	d	dˠ	ɡ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-			-	ɡ̤	1/3	0.3840457516291609
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	tˠ	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	pʰ	tʰ		kʰ	3/4	0.9931168235335535
	4/5	4/5	2/4	5/5
	0.9938000085248053	0.9907823673896957	0.8535451918974399	1.0
