	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-,+	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate|plosive	bʼ	dʼ//tʼ	dzʼ//tsʼ	d̠ʒʼ//t̠ʃʼ		-	-	kʼ//ɡʼ	5/6	0.9990796052507768
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b	d			dˠ	dzˠ	d̠ʒˠ	ɡ	6/8	0.8786134253293397
periodicGlottalSource:+;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive			dz̤	d̠ʒ̤	-	-	-	ɡ̤	3/5	0.560835540718413
periodicGlottalSource:+;category:fricative			z	ʒ					2/8	0.4048251874905424
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	p	t	ts	t̠ʃ	tˠ	tsˠ	t̠ʃˠ	k	8/8	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s	ʃ				x	3/8	0.7154423025702681
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	pʰ	tʰ	tsʰ	t̠ʃʰ				kʰ	5/8	0.991183813903005
	4/7	4/7	6/7	6/7	2/6	2/5	2/5	6/7
	0.769376439522929	0.9314432587789666	0.942897389715214	0.8554535943170376	0.39009566907738774	0.376842776746031	0.8228662816818093	0.9455787715889703
