b	d	ɡ	ɢ	4/4	1.0
	ᶑ		-	1/3	0.4330929462487471
	tʰ	kʰ		2/4	0.659711187481551
1/3	3/3	2/3	1/2
0.692838037394624	1.0	0.9670459608507949	0.3651039180418797
