	labial:+;coronal:-;anterior:0;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:+;dorsal:-;high:0;back:0 | labial:-;coronal:+;anterior:-;dorsal:-;high:0;back:0 | labial:-;coronal:+;anterior:-;dorsal:-;high:0;back:0;strident:-;lateral:-;distributed:-	labial:-;coronal:-;anterior:0;dorsal:+;high:+;back:-	labial:-;coronal:-;anterior:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-	b	d	ɡ	ɢ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+		ᶑ		-	1/3	0.4330929462487471
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-		tʰ	kʰ		2/4	0.659711187481551
	1/3	3/3	2/3	1/2
	0.692838037394624	1.0	0.9670459608507949	0.3651039180418797
