	labial:+;labiodental:+;coronal:-;lateral:-;strident:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	v	ɮ	z	ɣ	ɣʷ	5/5	1.0
periodicGlottalSource:-	f	ɬ	s	x	xʷ	5/5	1.0
	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0
