			ɡ	1/4	0.34679806552740317
p	t	t̪	k	4/4	1.0
pʰ	tʰ			2/4	0.5202930074218982
v		z		2/4	0.7749545845892488
f		s	x	3/4	0.961548399690739
4/5	2/5	3/5	3/5
0.7298712309238109	0.6767953340942904	0.9213285679429275	0.846082553998403
