	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;distributed:0;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-;distributed:-,+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;anterior:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;anterior:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:+;anterior:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:+;anterior:-;front:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,+;anterior:-;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:plosive				ɡ	1/4	0.34679806552740317
periodicGlottalSource:-;spreadGlottis:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive	p	t	t̪	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:plosive	pʰ	tʰ			2/4	0.5202930074218982
periodicGlottalSource:+;category:fricative	v		z		2/4	0.7749545845892488
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	x	3/4	0.961548399690739
	4/5	2/5	3/5	3/5
	0.7298712309238109	0.6767953340942904	0.9213285679429275	0.846082553998403
