			ɡ	1/4	0.34679806552740317
p	t̪	t	k	4/4	1.0
pʰ		tʰ		2/4	0.5202930074218982
2/3	1/3	2/3	2/3
0.6514229170037719	0.5634435147507639	0.7143866031873449	0.8778662622651932
