	t			1/4	0.3454267335204808
mb	nd	ŋɡ	ŋɡʷ	4/4	1.0
ɸ	s	x	xʷ	4/4	1.0
2/3	3/3	2/3	2/3
0.4586835259003981	1.0	0.38613641580250135	0.3689724192790588
