	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-		t		-	1/3	0.36150460391437117
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ŋɡ	ŋɡʷ	4/4	1.0
	1/2	2/2	1/2	1/1
	0.3564673241556326	1.0	0.29052231525944705	1.0
